geneID	geneSymbol	bioType	annotationLevel	SRR7850870	SRR7850871	SRR7850872	SRR7850873	SRR7850874	SRR7850875	SRR7850876	SRR7850877	SRR7850878
ENSMUSG00000063823.2	Olfr532	protein_coding	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0
ENSMUSG00000063827.2	Olfr1382	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ENSMUSG00000063830.5	Gm6065	processed_pseudogene	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063838.6	Cdc42ep5	protein_coding	2	15.0	45.0	48.0	33.0	80.0	83.0	48.0	76.0	24.0
ENSMUSG00000063842.5	Olfr862	protein_coding	2	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063844.5	Olfr1276	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063846.8	Gm21731	protein_coding	2	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063849.6	Ppcdc	protein_coding	2	201.0	444.0	400.0	437.0	523.0	594.0	350.0	458.0	189.0
ENSMUSG00000063851.12	Rnf183	protein_coding	2	0.0	1.0	2.0	5.0	2.0	4.0	1.0	3.0	2.0
ENSMUSG00000063856.7	Gpx1	protein_coding	2	1563.0	2775.0	2209.0	2206.0	3782.0	3759.0	2924.0	3468.0	1362.0
ENSMUSG00000063867.2	Olfr1511	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063870.12	Chd4	protein_coding	2	8841.0	22407.0	18927.0	19879.0	26634.0	28646.0	17891.0	22121.0	9825.0
ENSMUSG00000063873.10	Slc24a3	protein_coding	2	37.0	102.0	113.0	97.0	109.0	105.0	63.0	90.0	43.0
ENSMUSG00000063875.6	Rps6-ps1	processed_pseudogene	2	8.16	27.75	25.34	22.44	12.21	18.14	3.05	11.76	14.32
ENSMUSG00000063881.11	Olfr376	protein_coding	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063882.12	Uqcrh	protein_coding	2	1275.0	3585.0	3045.0	3108.0	3968.0	4328.0	2707.0	3351.0	1617.0
ENSMUSG00000063884.6	Ptcd3	protein_coding	2	1287.0	3299.0	2854.0	2875.0	3661.0	4807.0	2794.0	3417.0	1667.0
ENSMUSG00000063885.5	Gm6498	transcribed_processed_pseudogene	1	7.06	13.07	22.36	17.08	15.64	14.02	0.0	10.73	0.0
ENSMUSG00000063887.13	Nlgn1	protein_coding	2	630.0	2126.0	1872.0	1935.0	1907.0	2314.0	1103.0	1650.0	800.0
ENSMUSG00000063888.7	Rpl7l1	protein_coding	2	1410.99	3433.0	2730.0	2897.0	4033.84	5336.99	3209.0	3794.99	1924.87
ENSMUSG00000063889.16	Crem	protein_coding	2	82.0	305.0	212.0	223.0	313.0	349.0	245.0	284.0	166.0
ENSMUSG00000063894.15	Zkscan8	protein_coding	2	1028.0	2702.0	2446.0	2396.0	3023.0	3644.0	1957.0	2435.0	1198.0
ENSMUSG00000063895.7	Nupl1	protein_coding	2	1.73	0.0	5.1	8.14	13.88	1.68	6.72	11.6	6.98
ENSMUSG00000063897.3	CAAA01118383.1	protein_coding	3	102.0	185.0	185.0	151.0	325.0	310.0	278.0	299.0	101.0
ENSMUSG00000063900.5	Adam26b	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063902.13	Gm7964	processed_pseudogene	1	1527.85	3835.82	3316.48	3351.23	4670.24	5881.73	3288.26	4174.88	1974.97
ENSMUSG00000063903.5	Klk1	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063904.4	Dpp3	protein_coding	2	1432.0	3528.0	3113.0	3102.0	4385.0	4945.0	3334.0	3968.0	1684.0
ENSMUSG00000063905.2	Gm10139	protein_coding	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063911.4	Tdgf1-ps2	processed_pseudogene	1	3.0	9.0	5.0	12.0	6.0	4.0	1.0	5.0	2.0
ENSMUSG00000063919.11	Srrm4	protein_coding	2	570.0	1942.0	1568.0	1759.0	1787.0	1297.0	985.0	1190.0	429.0
ENSMUSG00000063929.6	Cyp4a32	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063931.14	Pepd	protein_coding	2	269.0	785.0	641.0	665.0	901.0	1026.0	715.0	910.0	427.0
ENSMUSG00000063932.5	Poteg	protein_coding	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000063935.3	Zar1	protein_coding	2	2.0	6.0	11.0	5.0	7.0	12.0	1.08	9.0	4.0
ENSMUSG00000063952.16	Brpf3	protein_coding	2	381.0	975.0	811.0	825.0	1005.0	898.0	663.0	925.0	371.0
ENSMUSG00000063953.3	Amd2	protein_coding	2	97.96	148.0	156.05	164.16	174.48	313.3	150.09	208.87	137.56
ENSMUSG00000063954.7	Hist2h2aa2	protein_coding	2	5961.46	13165.81	11272.86	11545.68	17072.51	18836.73	14016.22	15103.56	6351.06
ENSMUSG00000063971.7	Krt88	protein_coding	2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000063972.13	Nr6a1	protein_coding	2	89.0	262.0	173.0	204.0	300.0	336.0	199.0	274.0	126.0
ENSMUSG00000063975.13	Slco1a5	protein_coding	2	4.0	4.0	9.0	4.0	1.0	53.0	18.0	44.0	53.0
ENSMUSG00000063994.5	Olfr120	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063998.4	Vmn1r211	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000064006.6	Olfr190	protein_coding	2	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
ENSMUSG00000064010.12	Dppa1	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000064016.4	Gm648	protein_coding	2	0.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0
ENSMUSG00000064023.4	Klk8	protein_coding	2	20.0	36.0	35.0	36.0	57.0	36.0	50.0	69.0	19.0
ENSMUSG00000064030.15	Pym1	protein_coding	2	289.0	804.0	638.0	707.0	1002.0	1036.0	683.0	844.0	360.0
ENSMUSG00000064032.2	Gm10143	lncRNA	2	17.0	30.0	30.0	26.0	31.0	41.0	21.0	23.0	17.0
ENSMUSG00000064036.15	Mro	protein_coding	2	33.0	63.0	50.0	67.0	61.0	86.0	41.0	36.0	18.0
ENSMUSG00000064037.13	Gpn1	protein_coding	2	677.0	1765.0	1569.0	1580.0	2006.0	2369.0	1495.0	1822.0	830.0
ENSMUSG00000064039.4	Ccr1l1	protein_coding	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000064043.13	Trerf1	lncRNA	2	232.0	603.0	563.0	553.0	663.0	626.0	440.0	627.0	229.0
ENSMUSG00000064044.2	Olfr319	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000064052.3	Gm5089	lncRNA	2	21.0	62.0	51.0	56.0	32.0	60.0	47.0	77.0	26.0
ENSMUSG00000064057.12	Scgb3a1	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000064061.13	Dzip3	protein_coding	2	2179.0	6171.0	5524.0	5554.0	6743.0	8610.0	4589.0	5565.0	2809.0
ENSMUSG00000064063.6	BC048507	protein_coding	2	0.0	2.0	6.0	0.0	0.0	3.0	0.0	0.0	1.0
ENSMUSG00000064065.15	Ipcef1	protein_coding	1	66.0	180.0	171.0	177.0	178.0	176.0	140.0	179.0	56.0
ENSMUSG00000064068.14	Mtx1	protein_coding	2	362.0	941.0	836.0	787.0	996.0	1215.0	790.0	1029.0	467.0
ENSMUSG00000064080.12	Fbln2	protein_coding	2	206.0	552.0	435.0	465.0	677.0	412.0	831.0	480.0	234.0
ENSMUSG00000064081.4	Gm8973	processed_pseudogene	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
